SITE,coord_check,T,y,x,bng_y,bng_x
Alderston Mains,unk,T1,55.9692383,-2.810505322,675434,349508
Alderston Mains,unk,Mid,55.9692383,-2.810505322,675434,349508
Arnbeg Kippen,unk,T1,56.12511361,-4.206429239,694680,262942
Arnbeg Kippen,unk,Mid,56.12511361,-4.206429239,694680,262942
Arnbog Meigle,unk,T1,56.60144595,-3.115995208,746063,331581
Arnbog Meigle,unk,T2,56.60102905,-3.115396534,746016,331617
Arnbog Meigle,unk,T3,56.60066589,-3.114815744,745975,331652
Arnbog Meigle,unk,Mid,56.60102905,-3.115396534,746016,331617
Auld Dalbrack,unk,T1,56.22415354,-4.021708435,705349,274746
Auld Dalbrack,unk,Mid,56.22415354,-4.021708435,705349,274746
Baldinnies,field,T1,56.32998043,-3.583778152,716416,302167
Baldinnies,field,T2,56.33009833,-3.582990513,716428,302216
Baldinnies,field,Mid,56.33003949,-3.58337625,716422,302192
Castlemains,unk,T1,56.04215263,-2.775404151,683524,351790
Castlemains,unk,T2,56.04190492,-2.77478923,683496,351828
Castlemains,unk,T3,56.04162036,-2.77431804,683464,351857
Castlemains,unk,Mid,56.04190492,-2.77478923,683496,351828
Cockielaw,unk,T1,55.95116093,-2.653096823,673318,359314
Cockielaw,unk,T2,55.95096149,-2.653429749,673296,359293
Cockielaw,unk,Mid,55.95106125,-2.65325528,673307,359304
Dolphingstone,field,T1,55.94546088,-2.989258681,672933,338313
Dolphingstone,field,Mid,55.94546088,-2.989258681,672933,338313
East Fenton,field,T1,56.03018564,-2.7695158,682188,352142
East Fenton,field,T2,56.02987271,-2.769268877,682153,352157
East Fenton,field,Mid,56.0300425,-2.769416673,682172,352148
East Fortune,field,T1,55.99871761,-2.734610749,678662,354280
East Fortune,field,Mid,55.99871761,-2.734610749,678662,354280
Hoprig,field,T1,55.9586824,-2.877187657,674310,345331
Hoprig,field,Mid,55.9586824,-2.877187657,674310,345331
Islabank,unk,T1,56.55722008,-3.305503865,741346,319853
Islabank,unk,Mid,56.55722008,-3.305503865,741346,319853
Murrayshall,unk,T1,56.09487484,-3.988946924,690904,276362
Murrayshall,unk,Mid,56.09487484,-3.988946924,690904,276362
Park Cottage,unk,T1,55.88540973,-2.692341986,666024,356790
Park Cottage,unk,T2,55.88536373,-2.692533006,666019,356778
Park Cottage,unk,Mid,55.88538215,-2.692453401,666021,356783
Redlands,field,T1,56.06472878,-3.684422062,687045,295223
Redlands,field,Mid,56.06472878,-3.684422062,687045,295223
Sauchie Farm,unk,T1,56.35726001,-3.715430147,719647,294103
Sauchie Farm,unk,Mid,56.35726001,-3.715430147,719647,294103
Stewart House,unk,T1,56.25072659,-3.102071844,707014,331810
Stewart House,unk,Mid,56.25072659,-3.102071844,707014,331810
Townhead Gifford,unk,T1,55.90907021,-2.720053408,668675,355084
Townhead Gifford,unk,T2,55.90896633,-2.719379637,668663,355126
Townhead Gifford,unk,Mid,55.90901817,-2.719732517,668669,355104
Townhead Stirling,unk,T1,56.07943276,-4.014072053,689231,274749
Townhead Stirling,unk,Mid,56.07943276,-4.014072053,689231,274749
Turflundie,unk,T1,56.31771771,-3.307180551,714692,319243
Turflundie,unk,T2,56.31741062,-3.307331735,714658,319233
West Lodge Balmule,unk,T1,56.08307857,-3.278652978,688545,320523
West Lodge Balmule,unk,Mid,56.08307857,-3.278652978,688545,320523
Annfield,field,T1,56.06602,-3.373771978,686760,314566
Annfield,field,Mid,56.06601736,-3.373771978,686760,314566
Barn Owl Lodge,approx,T1,55.61994,-2.563374619,636406,364617
Barn Owl Lodge,approx,Mid,55.61994401,-2.563374619,636406,364617
Bogbank,field,T1,55.88777,-2.24172,666096,384979
Bogbank,field,T2,55.88807,-2.24216,666130,384951
Bogbank,field,Mid,56.35726001,-3.715430147,666112,384966
Brockhouse,approx,T1,55.74323,-2.92888,650374,341782
Brockhouse,approx,Mid,55.74323,-2.92888,650374,341782
Ferrygate,field,T1,56.04645,-2.756515414,683989,352972
Ferrygate,field,Mid,56.0464479,-2.756515414,683989,352972
Huxton,field,T1,55.88971,-2.22392,666309,386093
Huxton,field,T2,55.88972,-2.22483,666310,386036
Huxton,field,Mid,55.88971343,-2.224381785,666309,386064
Letham Near South T1,field,Mid,56.28647,-3.37897,711301,314733
Letham Near South T1,field,T1,56.28647,-3.37897,711301,314733
Letham Far North T2,field,Mid,56.29072,-3.37650,711771,314895
Letham Far North T2,field,T1,56.29072,-3.37650,711771,314895
Mid Cambushinnie,field,T1,56.23578,-3.93152,706482,280373
Mid Cambushinnie,field,T2,56.23513,-3.93190,706411,280348
Mid Cambushinnie,field,T3,56.23621,-3.93150,706530,280376
Mid Cambushinnie,field,Mid,56.23577644,-3.931526721,706482,280373
Mosshouses,approx,T1,55.65029,-2.74698,639892,353090
Mosshouses,approx,Mid,55.65028642,-2.74698161,639892,353090
Nisbet Hill,field,T1,55.74754,-2.33144,650512,379292
Nisbet Hill,field,T2,55.74792,-2.33186,650555,379266
Nisbet Hill,field,T3,55.74832,-2.33224,650600,379242
Nisbet Hill,field,T4,55.74870,-2.33266,650642,379216
Nisbet Hill,field,Mid,55.74812688,-2.332067189,650578,379253
Turflundie,unk,Mid,56.31756417,-3.307256143,714675,319238
Wester Essendy,field,T1,56.57835,-3.40685,743821,313672
Wester Essendy,field,T2,56.57802,-3.40684,743784,313672
Wester Essendy,field,T3,56.57764,-3.40683,743742,313672
Wester Essendy,field,Mid,56.57801958,-3.40684123,743784,313672
Whitehills,field,T1,55.64254,-2.51005,638895,367994
Whitehills,field,T2,55.64258,-2.51148,638900,367904
Whitehills,field,Mid,55.64255702,-2.510746683,638897,367950
